Building Name,City,Height (m),Height (ft),Floors,Started,Completed,Construction Years,Frame,HPY,Broad
Island Resort Towers 3 & 5,Hong Kong,"202,2",663,60,1999,2001,2,Concrete,"101,1",No
Island Resort Towers 6 & 7,Hong Kong,"202,2",663,60,1999,2001,2,Concrete,"101,1",No
Island Resort Towers 8 & 9,Hong Kong,"202,2",663,60,1999,2001,2,Concrete,"101,1",No
Park Tower,Chicago,"257,4",844,68,1998,2000,2,Concrete,"128,7",No
Citigroup Centre,Sydney,243,797,50,1998,2000,2,Concrete,"121,5",No
The Belcher's Tower 1,Hong Kong,"220,6",724,63,1998,2000,2,Concrete,"110,3",No
Aurora Place,Sydney,"218,9",718,41,1998,2000,2,Concrete,"109,45",No
Millennium Tower,Vienna,202,663,50,1997,1999,2,Concrete,101,No
Tregunter Tower III,Hong Kong,"219,9",721,68,1991,1993,2,Concrete,"109,95",No
One Canada Square,London,236,774,50,1989,1991,2,Steel,118,No
Two Prudential Plaza,Chicago,"303,3",995,64,1988,1990,2,Concrete,"151,65",No
311 South Wacker Drive,Chicago,"292,9",961,65,1988,1990,2,Concrete,"146,45",No
MesseTurm,Frankfurt am Main,"256,5",842,64,1988,1990,2,Concrete,"128,25",No
33 South 6th Street,Minneapolis,"203,6",668,52,1981,1983,2,Concrete,"101,8",No
Trump Tower,New York City,"202,4",664,58,1980,1982,2,Concrete,"101,2",No
First Canadian Place,Toronto,"298,1",978,72,1973,1975,2,Steel,"149,05",No
Shinjuku Mitsui Building,Tokyo,225,738,55,1972,1974,2,Steel,"112,5",No
